Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Description8,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
CtG14A.1,2025,Mortality due to suicide,91,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,15,
CtG14A.1,2025,Mortality due to suicide,75,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,32.1,
CtG14A.1,2025,Mortality due to suicide,85,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,5.5,
CtG14A.1,2024,Mortality due to suicide,39,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,16.4,
CtG14A.1,2024,Mortality due to suicide,58,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,31.2,
CtG14A.1,2024,Mortality due to suicide,43,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,4.5,
CtG14A.1,2023,Mortality due to suicide,70,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,17.9,
CtG14A.1,2023,Mortality due to suicide,12,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,30.3,
CtG14A.1,2023,Mortality due to suicide,3,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,3.5,
CtG14A.1,2022,Mortality due to suicide,31,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,29.9,
CtG14A.1,2022,Mortality due to suicide,41,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,19.3,
CtG14A.1,2022,Mortality due to suicide,48,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,212,
CtG14A.1,2022,Mortality due to suicide,82,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,29.3,
CtG14A.1,2022,Mortality due to suicide,17,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,2.6,
CtG14A.1,2021,Mortality due to suicide,15,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,27.1,
CtG14A.1,2021,Mortality due to suicide,43,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,20.8,
CtG14A.1,2021,Mortality due to suicide,51,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,196,
CtG14A.1,2021,Mortality due to suicide,51,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,28.4,
CtG14A.1,2021,Mortality due to suicide,78,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,1.8,
CtG14A.1,2020,Mortality due to suicide,50,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,27.9,
CtG14A.1,2020,Mortality due to suicide,59,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,22.2,
CtG14A.1,2020,Mortality due to suicide,1,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,197,
CtG14A.1,2020,Mortality due to suicide,59,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,27.5,
CtG14A.1,2020,Mortality due to suicide,38,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,1.5,
CtG14A.1,2019,Mortality due to suicide,4,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,27.5,
CtG14A.1,2019,Mortality due to suicide,75,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,23.7,
CtG14A.1,2019,Mortality due to suicide,75,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,197,
CtG14A.1,2019,Mortality due to suicide,60,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,26.6,
CtG14A.1,2019,Mortality due to suicide,92,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,1.8,
CtG14A.1,2018,Mortality due to suicide,88,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,25.1,
CtG14A.1,2018,Mortality due to suicide,100,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Trajectory,75% reduction,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,25.1,
CtG14A.1,2018,Mortality due to suicide,54,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,174,
CtG14A.1,2018,Mortality due to suicide,97,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,25.7,
CtG14A.1,2018,Mortality due to suicide,48,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Linear regression estimates,,Aboriginal and Torres Strait Islander people,All people,,95%CI,ABS (unpublished) Causes of Death Australia,rate (AS) (±),,,,,,,,,2.6,
CtG14A.1,2018 to 2022,Mortality due to suicide,40,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Estimated annual change,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS)/year,,,,,,,,,0.92,
CtG14A.1,2018 to 2022,Mortality due to suicide,84,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Assessment of progress,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,Level,,,,,,,,,-1,
CtG14A.1,2018 to 2022,Mortality due to suicide,30,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Confidence in assessment of progress,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,Level,,,,,,,,,High,
CtG14A.1,2017,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,24.2,
CtG14A.1,2017,Mortality due to suicide,78,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,165,
CtG14A.1,2016,Mortality due to suicide,45,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,23.5,
CtG14A.1,2016,Mortality due to suicide,24,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,160,
CtG14A.1,2015,Mortality due to suicide,83,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,24.2,
CtG14A.1,2015,Mortality due to suicide,26,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,154,
CtG14A.1,2014,Mortality due to suicide,16,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,22.4,
CtG14A.1,2014,Mortality due to suicide,21,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,148,
CtG14A.1,2013,Mortality due to suicide,66,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,22.7,
CtG14A.1,2013,Mortality due to suicide,36,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,140,
CtG14A.1,2012,Mortality due to suicide,14,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,18.9,
CtG14A.1,2012,Mortality due to suicide,33,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,120,
CtG14A.1,2011,Mortality due to suicide,86,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,22.6,
CtG14A.1,2011,Mortality due to suicide,15,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,136,
CtG14A.1,2010,Mortality due to suicide,20,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,19.9,
CtG14A.1,2010,Mortality due to suicide,48,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,107,
CtG14A.1,2009,Mortality due to suicide,52,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,Actual,,Aboriginal and Torres Strait Islander people,All people,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,16.7,
CtG14A.1,2009,Mortality due to suicide,94,All people,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,Actual,,Aboriginal and Torres Strait Islander people,All people,,,Derived from ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,100,
CtG14A.3,2022,Mortality due to suicide,19,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,46.3,
CtG14A.3,2022,Mortality due to suicide,97,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,18.1,
CtG14A.3,2022,Mortality due to suicide,31,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,160,
CtG14A.3,2022,Mortality due to suicide,81,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,14,
CtG14A.3,2022,Mortality due to suicide,60,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.5,
CtG14A.3,2022,Mortality due to suicide,47,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,52,
CtG14A.3,2021,Mortality due to suicide,39,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,38.6,
CtG14A.3,2021,Mortality due to suicide,62,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,17.9,
CtG14A.3,2021,Mortality due to suicide,47,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,134,
CtG14A.3,2021,Mortality due to suicide,56,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,16.1,
CtG14A.3,2021,Mortality due to suicide,59,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.9,
CtG14A.3,2021,Mortality due to suicide,41,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,62,
CtG14A.3,2020,Mortality due to suicide,21,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,42.9,
CtG14A.3,2020,Mortality due to suicide,2,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,18.3,
CtG14A.3,2020,Mortality due to suicide,96,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,147,
CtG14A.3,2020,Mortality due to suicide,14,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,13.4,
CtG14A.3,2020,Mortality due to suicide,61,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.5,
CtG14A.3,2020,Mortality due to suicide,7,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,50,
CtG14A.3,2019,Mortality due to suicide,26,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,40.4,
CtG14A.3,2019,Mortality due to suicide,1,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,19.9,
CtG14A.3,2019,Mortality due to suicide,38,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,139,
CtG14A.3,2019,Mortality due to suicide,44,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,15.1,
CtG14A.3,2019,Mortality due to suicide,30,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,6,
CtG14A.3,2019,Mortality due to suicide,15,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,58,
CtG14A.3,2018,Mortality due to suicide,56,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,38.6,
CtG14A.3,2018,Mortality due to suicide,60,Males,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Males,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,19.6,
CtG14A.3,2018,Mortality due to suicide,36,Males,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Males,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,131,
CtG14A.3,2018,Mortality due to suicide,66,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Rate per 100000 people,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,11.7,
CtG14A.3,2018,Mortality due to suicide,44,Females,Non-Indigenous people,All areas,Suicide deaths,,Rate per 100000 people,,,Non-Indigenous people,Females,,,ABS (unpublished) Causes of Death Australia,rate (AS),,,,,,,,,5.9,
CtG14A.3,2018,Mortality due to suicide,10,Females,Aboriginal and Torres Strait Islander people,All areas,Suicide deaths,,Number,,,Aboriginal and Torres Strait Islander people,Females,,,ABS (unpublished) Causes of Death Australia,no.,,,,,,,,,43,
